id,version,master_id,excel_column_name,table_column_name,type,required,default,partner_api_key,ui_type,ui_title,ui_key,additional_key,ui_grouping,ui_field_condition,ui_field_order,can_update_stage,file_json_path,created_at,updated_at,created_by,description,example,required_stage,file_storage,length,updated_by,column_indices,effective_date,is_video_file,file_extension,upload_name,upload_definition_id
799,0,46,PARTNERCODE,PARTNERCODE,,Non Mandatory,,,,,,,,,,ALL,,2024-03-07 19:04:42,,,,,ALL,,,,,,0.0,,Individual Loan Upload v3,46
800,0,46,PRODUCTCODE,PRODUCTCODE,,Non Mandatory,,,,,,,,,,ALL,,2024-03-07 19:04:42,,,,,ALL,,,,,,0.0,,Individual Loan Upload v3,46
801,0,46,LOANID,LOANID,,Non Mandatory,,,,,,,,,,ALL,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
802,0,46,CUSTOMERID,CUSTOMERID,,Non Mandatory,,,,,,,,,,ALL,,2024-03-07 19:04:42,,,,,ALL,,,,,,0.0,,Individual Loan Upload v3,46
803,0,46,APPLICANTID,APPLICANTID,,Non Mandatory,,,,,,,,,,ALL,,2024-03-07 19:04:42,,,,,ALL,,,,,,0.0,,Individual Loan Upload v3,46
804,0,46,COAPPLICANT1ID,COAPPLICANT1ID,,Non Mandatory,,,,,,,LOAN_APPLICANT,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
805,0,46,COAPPLICANT2ID,COAPPLICANT2ID,,Non Mandatory,,,,,,,LOAN_APPLICANT,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
806,0,46,GUARANTOR1ID,GUARANTOR1ID,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
807,0,46,GUARANTOR2ID,GUARANTOR2ID,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
808,0,46,TOTALLOANAMT,TOTALLOANAMT,,Non Mandatory,,,,,,,,,,ALL,,2024-03-07 19:04:42,,,,,ALL,,,,,,0.0,,Individual Loan Upload v3,46
809,0,46,LOANAMT,LOANAMT,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
810,0,46,LOANAPPLICATIONDATE,LOANAPPLICATIONDATE,date,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
811,0,46,INSTALMENTAMT,INSTALMENTAMT,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
812,0,46,DATEOFDISBURSEMENT,DATEOFDISBURSEMENT,date,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
813,0,46,NUMBEROFINSTALMENTS,NUMBEROFINSTALMENTS,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
814,0,46,REPAYMENTFREQUENCY,REPAYMENTFREQUENCY,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
815,0,46,INTERESTRATE,INTERESTRATE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
816,0,46,PENALINTERESTRATE,PENALINTERESTRATE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
817,0,46,DATEOFMATURITY,DATEOFMATURITY,date,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
818,0,46,LOANPURPOSE1,LOANPURPOSE1,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
819,0,46,LOANPURPOSE2,LOANPURPOSE2,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
820,0,46,INSURANCEAMT,INSURANCEAMT,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
821,0,46,COLLATERALVALUE,COLLATERALVALUE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
822,0,46,BORROWERINCOME,BORROWERINCOME,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
823,0,46,HOUSEHOLDINCOME,HOUSEHOLDINCOME,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
824,0,46,CBSCORE,CBSCORE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
825,0,46,LENDER1INTERESTRATE,LENDER1INTERESTRATE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
826,0,46,LENDER1PENALINTERESTRATE,LENDER1PENALINTERESTRATE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
827,0,46,UDF1,UDF1,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
828,0,46,UDF2,UDF2,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
829,0,46,UDF3,UDF3,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
830,0,46,UDF4,UDF4,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
831,0,46,UDF5,UDF5,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
832,0,46,UDF6,UDF6,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
833,0,46,UDF7,UDF7,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
834,0,46,UDF8,UDF8,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
835,0,46,UDF9,UDF9,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
836,0,46,UDF10,UDF10,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
837,0,46,UDF11,UDF11,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
838,0,46,UDF12,UDF12,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
839,0,46,UDF13,UDF13,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
840,0,46,UDF14,UDF14,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
841,0,46,UDF15,UDF15,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
842,0,46,UDF16,UDF16,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
843,0,46,UDF17,UDF17,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
844,0,46,UDF18,UDF18,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
845,0,46,UDF19,UDF19,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
846,0,46,UDF20,UDF20,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
847,0,46,FEE1,FEE1,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
848,0,46,FEE2,FEE2,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
849,0,46,FEE3,FEE3,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
850,0,46,FEE4,FEE4,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
851,0,46,FEE5,FEE5,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
852,0,46,FEE6,FEE6,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
853,0,46,FEE7,FEE7,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
854,0,46,FEE8,FEE8,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
855,0,46,FEE9,FEE9,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
856,0,46,FEE10,FEE10,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
857,0,46,FEE11,FEE11,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
858,0,46,FEE12,FEE12,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
859,0,46,FEE13,FEE13,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
860,0,46,FEE14,FEE14,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
861,0,46,FEE15,FEE15,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
862,0,46,FEE16,FEE16,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
863,0,46,FEE17,FEE17,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
864,0,46,FEE18,FEE18,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
865,0,46,FEE19,FEE19,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
866,0,46,FEE20,FEE20,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
867,0,46,GROUPNAME,GROUPNAME,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
868,0,46,GROUPCODE,GROUPCODE,,Non Mandatory,,,,,,,,,,,,2024-03-07 19:04:42,,,,,,,,,,,0.0,,Individual Loan Upload v3,46
